Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n100_p0.15_graph_1,2,"['7', '53']",3,2,"['22', '81']",1,0,[],2,"['81', '68']",1,0,[],"['1', '2', '73', '72', '88']"
ER_n100_p0.15_graph_2,2,"['13', '93']",3,2,"['13', '77']",0.5,1,['13'],2,"['77', '52']",1.5,0,[],"['12', '63', '28', '88', '66']"
ER_n100_p0.15_graph_3,2,"['14', '28']",3,2,"['14', '30']",0.5,1,['14'],2,"['98', '94']",1.5,0,[],"['61', '4', '12', '9', '72']"
ER_n100_p0.15_graph_4,2,"['29', '48']",3,2,"['76', '72']",1,0,[],2,"['91', '62']",2,0,[],"['21', '38', '63', '82', '92']"
ER_n100_p0.15_graph_5,2,"['27', '98']",3,2,"['87', '23']",1.5,0,[],2,"['54', '74']",1.5,0,[],"['69', '94', '44', '56', '88']"
ER_n100_p0.15_graph_6,2,"['41', '65']",3,2,"['51', '30']",1,0,[],2,"['63', '58']",1.5,0,[],"['91', '1', '73', '11', '92']"
ER_n100_p0.15_graph_7,2,"['26', '75']",3,2,"['26', '75']",0,2,"['26', '75']",2,"['17', '26']",0.5,1,['26'],"['62', '13', '64', '79', '8']"
ER_n100_p0.15_graph_8,2,"['15', '63']",3,2,"['12', '48']",1,0,[],2,"['39', '56']",1.5,0,[],"['61', '57', '6', '92', '79']"
ER_n100_p0.15_graph_9,2,"['39', '58']",3,2,"['48', '39']",1,1,['39'],2,"['43', '47']",2,0,[],"['19', '15', '32', '30', '89']"
ER_n100_p0.15_graph_10,2,"['27', '48']",3,2,"['59', '58']",1.5,0,[],2,"['7', '58']",1.5,0,[],"['99', '38', '19', '29', '8']"
,,,3,,,0.9,,,,,1.45,,,
